Meter #,Sec Meter #,Serv Addr,Stat,Meter Type,Account,Serv Loc #,Name,Service Use Type,AMR Transponder ID
111618720,81999765,,8,1,,,,,81999765
111618721,81999800,,8,1,,,,,81999800
111618722,81999816,,8,1,,,,,81999816
111618724,81999812,,8,1,,,,,81999812
111618725,81999822,,8,1,,,,,81999822
111618728,81999773,,8,6,,,,,81999773
111618733,81999754,,8,1,,,,,81999754
116315816,83266245,,8,1,,,,,83266245
116315817,83266300,,8,1,,,,,83266300
116315818,83266295,,8,1,,,,,83266295
116315819,83266260,,8,1,,,,,83266260
116315820,83266264,,8,1,,,,,83266264
116315821,83266294,,8,1,,,,,83266294
116315822,83266307,,8,1,,,,,83266307
116315823,83266309,,8,1,,,,,83266309
116315824,83266299,,8,1,,,,,83266299
116315825,83266286,,8,1,,,,,83266286
116315826,83266253,,8,1,,,,,83266253
116315827,83266302,,8,1,,,,,83266302
116315828,83266320,,8,1,,,,,83266320
116315829,83266285,,8,1,,,,,83266285
116315830,83266298,,8,1,,,,,83266298
116315831,83266304,,8,1,,,,,83266304
116315832,83266324,,8,1,,,,,83266324
116315833,83266293,,8,1,,,,,83266293
116315834,83266318,,8,1,,,,,83266318
116315835,83266230,,8,1,,,,,83266230
116315836,83266316,,8,1,,,,,83266316
116315837,83266305,,8,1,,,,,83266305
116315838,83266243,,8,1,,,,,83266243
116315839,83266317,,8,1,,,,,83266317
116315840,83266284,,8,1,,,,,83266285
116315841,83266323,,8,1,,,,,83266323
116315842,83266311,,8,1,,,,,83266311
116315843,83266262,,8,1,,,,,83266262
116315844,83266327,,8,1,,,,,83266327
116315845,83266306,,8,1,,,,,83266306
116315846,83266310,,8,1,,,,,83266310
116315847,83266233,,8,1,,,,,83266233
116315848,83266315,,8,1,,,,,83266315
116315849,83266282,,8,1,,,,,83266282
116315850,82890421,,8,1,,,,,82890421
116315851,82890426,,8,1,,,,,82890426
116315852,83266272,,8,1,,,,,83266272
116315853,83266266,,8,1,,,,,83266266
116315854,83266255,,8,1,,,,,83266255
116315855,83266281,,8,1,,,,,83266281
116315856,83266313,,8,1,,,,,83266313
116315857,83266234,,8,1,,,,,83266234
116315858,83266301,,8,1,,,,,83266301
116315859,83266246,,8,1,,,,,83266246
116315860,83266254,,8,1,,,,,83266254
116315861,83266268,,8,1,,,,,83266268
116315862,83266290,,8,1,,,,,83266290
116315863,83266251,,8,1,,,,,83266251
116315864,83266267,,8,1,,,,,83266267
